theta_deg,phi_deg,RCS_total_dBsm,RCS_VV_dBsm,RCS_HH_dBsm
15.4286,30.8571,-9.94298,-11.3549,-15.5097
15.4286,41.1429,-9.88826,-12.4924,-13.3466
15.4286,51.4286,-9.83192,-14.133,-11.8485
15.4286,61.7143,-9.78058,-16.5166,-10.8155
15.4286,72,-9.74054,-20.2302,-10.147
15.4286,82.2857,-9.71655,-27.4726,-9.78997
15.4286,92.5714,-9.71138,-36.9914,-9.71951
15.4286,102.857,-9.72559,-23.0817,-9.9309
15.4286,113.143,-9.75809,-18.1407,-10.4391
15.4286,123.429,-9.80506,-15.2081,-11.2815
15.4286,133.714,-9.86034,-13.2395,-12.5307
15.4286,144,-9.91708,-11.8707,-14.3267
15.4286,154.286,-9.96797,-10.9356,-16.9635
15.4286,164.571,-10.0062,-10.3483,-21.2119
15.4286,174.857,-10.0265,-10.0642,-30.6604
15.4286,185.143,-10.0265,-10.0642,-30.6604
15.4286,195.429,-10.0062,-10.3483,-21.2119
15.4286,205.714,-9.96797,-10.9356,-16.9635
15.4286,216,-9.91708,-11.8707,-14.3267
15.4286,226.286,-9.86034,-13.2395,-12.5307
15.4286,236.571,-9.80506,-15.2081,-11.2815
15.4286,246.857,-9.75809,-18.1407,-10.4391
15.4286,257.143,-9.72559,-23.0817,-9.9309
15.4286,267.429,-9.71138,-36.9914,-9.71951
15.4286,277.714,-9.71655,-27.4726,-9.78997
15.4286,288,-9.74054,-20.2302,-10.147
15.4286,298.286,-9.78058,-16.5166,-10.8155
15.4286,308.571,-9.83192,-14.133,-11.8485
15.4286,318.857,-9.88826,-12.4924,-13.3466
15.4286,329.143,-9.94298,-11.3549,-15.5097
15.4286,339.429,-9.9889,-10.6019,-18.7953
15.4286,349.714,-10.0193,-10.1705,-24.6755
15.4286,360,-10.0299,-10.0299,-300
20.5714,0,-12.324,-12.324,-300
20.5714,10.2857,-12.3044,-12.4646,-26.716
20.5714,20.5714,-12.2486,-12.8958,-20.8357
20.5714,30.8571,-12.1647,-13.6485,-17.5498
20.5714,41.1429,-12.0657,-14.786,-15.3867
20.5714,51.4286,-11.9648,-16.4269,-13.8889
20.5714,61.7143,-11.8737,-18.8107,-12.856
20.5714,72,-11.8032,-22.5244,-12.1876
20.5714,82.2857,-11.7612,-29.7667,-11.8305
20.5714,92.5714,-11.7522,-39.2853,-11.7599
20.5714,102.857,-11.7771,-25.3753,-11.971
20.5714,113.143,-11.8341,-20.4344,-12.4792
20.5714,123.429,-11.917,-17.502,-13.3219
20.5714,133.714,-12.0155,-15.5335,-14.5713
20.5714,144,-12.1176,-14.1649,-16.3673
20.5714,154.286,-12.2102,-13.2297,-19.0041
20.5714,164.571,-12.2804,-12.6422,-23.2523
20.5714,174.857,-12.3178,-12.3578,-32.7005
20.5714,185.143,-12.3178,-12.3578,-32.7005
20.5714,195.429,-12.2804,-12.6422,-23.2523
20.5714,205.714,-12.2102,-13.2297,-19.0041
20.5714,216,-12.1176,-14.1649,-16.3673
20.5714,226.286,-12.0155,-15.5335,-14.5713
20.5714,236.571,-11.917,-17.502,-13.3219
20.5714,246.857,-11.8341,-20.4344,-12.4792
20.5714,257.143,-11.7771,-25.3753,-11.971
20.5714,267.429,-11.7522,-39.2853,-11.7599
20.5714,277.714,-11.7612,-29.7667,-11.8305
20.5714,288,-11.8032,-22.5244,-12.1876
20.5714,298.286,-11.8737,-18.8107,-12.856
20.5714,308.571,-11.9648,-16.4269,-13.8889
20.5714,318.857,-12.0657,-14.786,-15.3867
20.5714,329.143,-12.1647,-13.6485,-17.5498
20.5714,339.429,-12.2486,-12.8958,-20.8357
20.5714,349.714,-12.3044,-12.4646,-26.716
20.5714,360,-12.324,-12.324,-300
25.7143,0,-16.0226,-16.0226,-300
25.7143,10.2857,-15.9905,-16.1632,-30.0811
25.7143,20.5714,-15.8996,-16.5945,-24.201
25.7143,30.8571,-15.7645,-17.3475,-20.9153
25.7143,41.1429,-15.6063,-18.485,-18.7522
25.7143,51.4286,-15.4464,-20.1256,-17.2541
25.7143,61.7143,-15.3043,-22.5093,-16.2211
25.7143,72,-15.1956,-26.2229,-15.5526
25.7143,82.2857,-15.1314,-33.4653,-15.1956
25.7143,92.5714,-15.118,-42.9841,-15.1252
25.7143,102.857,-15.1566,-29.0743,-15.3365
25.7143,113.143,-15.2441,-24.1333,-15.8446
25.7143,123.429,-15.3719,-21.2008,-16.6871
25.7143,133.714,-15.5258,-19.2321,-17.9364
25.7143,144,-15.6878,-17.8634,-19.7324
25.7143,154.286,-15.8369,-16.9283,-22.3692
25.7143,164.571,-15.9515,-16.341,-26.6176
25.7143,174.857,-16.0137,-16.0568,-36.066
25.7143,185.143,-16.0136,-16.0568,-36.066
25.7143,195.429,-15.9515,-16.341,-26.6176
25.7143,205.714,-15.8369,-16.9283,-22.3692
