theta_deg,phi_deg,RCS_total_dBsm,RCS_VV_dBsm,RCS_HH_dBsm
0,0,-18.334,-18.334,-300
0,10.2857,-18.334,-18.334,-300
0,20.5714,-18.334,-18.334,-300
0,30.8571,-18.334,-18.334,-300
0,41.1429,-18.334,-18.334,-300
0,51.4286,-18.334,-18.334,-300
0,61.7143,-18.334,-18.334,-300
0,72,-18.334,-18.334,-300
0,82.2857,-18.334,-18.334,-300
0,92.5714,-18.334,-18.334,-300
0,102.857,-18.334,-18.334,-300
0,113.143,-18.334,-18.334,-300
0,123.429,-18.334,-18.334,-300
0,133.714,-18.334,-18.334,-300
0,144,-18.334,-18.334,-300
0,154.286,-18.334,-18.334,-300
0,164.571,-18.334,-18.334,-300
0,174.857,-18.334,-18.334,-300
0,185.143,-18.334,-18.334,-300
0,195.429,-18.334,-18.334,-300
0,205.714,-18.334,-18.334,-300
0,216,-18.334,-18.334,-300
0,226.286,-18.334,-18.334,-300
0,236.571,-18.334,-18.334,-300
0,246.857,-18.334,-18.334,-300
0,257.143,-18.334,-18.334,-300
0,267.429,-18.334,-18.334,-300
0,277.714,-18.334,-18.334,-300
0,288,-18.334,-18.334,-300
0,298.286,-18.334,-18.334,-300
0,308.571,-18.334,-18.334,-300
0,318.857,-18.334,-18.334,-300
0,329.143,-18.334,-18.334,-300
0,339.429,-18.334,-18.334,-300
0,349.714,-18.334,-18.334,-300
0,360,-18.334,-18.334,-300
5.14286,0,-18.1079,-18.1079,-300
5.14286,10.2857,-17.2816,-17.4234,-32.2121
5.14286,20.5714,-16.7754,-17.352,-25.8293
5.14286,30.8571,-16.5454,-17.8804,-22.319
5.14286,41.1429,-16.5298,-19.0083,-20.1463
5.14286,51.4286,-16.6568,-20.7817,-18.781
5.14286,61.7143,-16.8532,-23.3673,-17.9499
5.14286,72,-17.0408,-27.2729,-17.4734
5.14286,82.2857,-17.1639,-34.6411,-17.2423
5.14286,92.5714,-17.1902,-44.187,-17.1989
5.14286,102.857,-17.113,-30.1989,-17.3318
5.14286,113.143,-16.952,-25.0933,-17.6754
5.14286,123.429,-16.7519,-21.9549,-18.312
5.14286,133.714,-16.5795,-19.8075,-19.3825
5.14286,144,-16.5153,-18.3683,-21.108
5.14286,154.286,-16.6294,-17.5419,-23.8535
5.14286,164.571,-16.9908,-17.3121,-28.4594
5.14286,174.857,-17.6529,-17.6882,-38.5682
5.14286,185.143,-18.6486,-18.6839,-39.5639
5.14286,195.429,-19.9839,-20.3052,-31.4526
5.14286,205.714,-21.6287,-22.5411,-28.8528
5.14286,216,-23.502,-25.355,-28.0948
5.14286,226.286,-25.4564,-28.6844,-28.2594
5.14286,236.571,-27.2786,-32.4816,-28.8387
5.14286,246.857,-28.7322,-36.8734,-29.4555
5.14286,257.143,-29.6721,-42.7579,-29.8909
5.14286,267.429,-30.0684,-57.0652,-30.0771
5.14286,277.714,-29.9371,-47.4143,-30.0155
5.14286,288,-29.2706,-39.5026,-29.7031
5.14286,298.286,-28.0635,-34.5775,-29.1601
5.14286,308.571,-26.3992,-30.5241,-28.5233
5.14286,318.857,-24.481,-26.9595,-28.0975
5.14286,329.143,-22.5442,-23.8792,-28.3178
5.14286,339.429,-20.7712,-21.3479,-29.8251
5.14286,349.714,-19.2746,-19.4165,-34.2052
5.14286,360,-18.1079,-18.1079,-300
10.2857,0,-17.5586,-17.5586,-300
10.2857,10.2857,-16.6691,-16.8144,-31.4974
10.2857,20.5714,-16.8638,-17.4538,-25.8253
10.2857,30.8571,-17.8972,-19.2604,-23.5933
10.2857,41.1429,-19.2841,-21.8089,-22.8412
10.2857,51.4286,-20.2109,-24.4008,-22.2945
10.2857,61.7143,-20.2014,-26.7978,-21.2747
10.2857,72,-19.7011,-30.0289,-20.1237
10.2857,82.2857,-19.2759,-36.857,-19.3524
10.2857,92.5714,-19.1822,-46.2846,-19.1907
10.2857,102.857,-19.4554,-32.6418,-19.6691
10.2857,113.143,-19.9711,-28.2019,-20.6783
10.2857,123.429,-20.311,-25.5881,-21.8395
10.2857,133.714,-19.8569,-23.1407,-22.61
10.2857,144,-18.592,-20.482,-23.116
10.2857,154.286,-17.2978,-18.2304,-24.4364
10.2857,164.571,-16.6426,-16.9715,-28.0131
10.2857,174.857,-16.9676,-17.0038,-37.7781
10.2857,185.143,-18.4646,-18.5008,-39.275
10.2857,195.429,-21.3175,-21.6464,-32.6881
10.2857,205.714,-25.665,-26.5977,-32.8037
10.2857,216,-30.775,-32.665,-35.2991
10.2857,226.286,-33.3621,-36.6458,-36.1152
10.2857,236.571,-34.1337,-39.4108,-35.6622
10.2857,246.857,-35.5607,-43.7916,-36.268
10.2857,257.143,-36.8476,-50.0341,-37.0613
10.2857,267.429,-37.218,-64.3203,-37.2264
10.2857,277.714,-37.1295,-54.7105,-37.206
10.2857,288,-36.3133,-46.6411,-36.7359
10.2857,298.286,-34.7694,-41.3658,-35.8427
10.2857,308.571,-33.7217,-37.9117,-35.8053
10.2857,318.857,-32.5451,-35.0699,-36.1022
10.2857,329.143,-28.277,-29.6401,-33.9731
10.2857,339.429,-23.3069,-23.8968,-32.2684
10.2857,349.714,-19.7093,-19.8546,-34.5376
10.2857,360,-17.5586,-17.5586,-300
15.4286,0,-17.0491,-17.0491,-300
15.4286,10.2857,-17.1724,-17.3237,-31.8286
15.4286,20.5714,-19.2582,-19.8712,-28.0647
15.4286,30.8571,-20.4187,-21.8305,-25.9854
15.4286,41.1429,-18.2387,-20.8428,-21.697
15.4286,51.4286,-16.1695,-20.4705,-18.1861
15.4286,61.7143,-15.1463,-21.8824,-16.1812
15.4286,72,-14.8032,-25.2928,-15.2096
15.4286,82.2857,-14.7536,-32.5097,-14.827
15.4286,92.5714,-14.7568,-42.0368,-14.7649
15.4286,102.857,-14.7603,-28.1165,-14.9657
15.4286,113.143,-14.9169,-23.2995,-15.5978
15.4286,123.429,-15.545,-20.9481,-17.0214
15.4286,133.714,-17.0681,-20.4472,-19.7385
15.4286,144,-19.5193,-21.473,-23.929
15.4286,154.286,-20.2936,-21.2612,-27.2892
15.4286,164.571,-18.0507,-18.3929,-29.2565
15.4286,174.857,-16.8149,-16.8526,-37.4488
15.4286,185.143,-17.9231,-17.9608,-38.557
15.4286,195.429,-21.8771,-22.2192,-33.0828
15.4286,205.714,-29.1776,-30.1452,-36.1731
15.4286,216,-33.7702,-35.7239,-38.1799
15.4286,226.286,-36.8061,-40.1852,-39.4764
15.4286,236.571,-31.7633,-37.1664,-33.2397
15.4286,246.857,-25.0503,-33.433,-25.7313
15.4286,257.143,-21.8673,-35.2234,-22.0726
15.4286,267.429,-20.7016,-47.9817,-20.7098
15.4286,277.714,-21.0788,-38.8349,-21.1523
15.4286,288,-23.145,-33.6347,-23.5515
15.4286,298.286,-27.8144,-34.5504,-28.8493
15.4286,308.571,-36.3865,-40.6875,-38.403
15.4286,318.857,-34.7127,-37.3169,-38.1711
15.4286,329.143,-32.5896,-34.0014,-38.1563
15.4286,339.429,-25.1505,-25.7635,-33.957
15.4286,349.714,-19.5011,-19.6524,-34.1573
15.4286,360,-17.0491,-17.0491,-300
20.5714,0,-17.0946,-17.0946,-300
20.5714,10.2857,-19.3626,-19.5228,-33.7742
20.5714,20.5714,-20.1121,-20.7593,-28.6993
20.5714,30.8571,-16.4658,-17.9495,-21.8509
20.5714,41.1429,-15.0618,-17.7822,-18.3829
20.5714,51.4286,-15.8044,-20.2665,-17.7285
20.5714,61.7143,-17.8683,-24.8054,-18.8507
20.5714,72,-20.1664,-30.8875,-20.5507
20.5714,82.2857,-21.5218,-39.5273,-21.5911
20.5714,92.5714,-21.7616,-49.2947,-21.7693
20.5714,102.857,-20.9958,-34.5941,-21.1897
20.5714,113.143,-19.0737,-27.674,-19.7188
20.5714,123.429,-16.7265,-22.3115,-18.1313
20.5714,133.714,-15.217,-18.7351,-17.7728
20.5714,144,-15.4431,-17.4903,-19.6928
20.5714,154.286,-18.1665,-19.186,-24.9604
20.5714,164.571,-20.7207,-21.0826,-31.6927
20.5714,174.857,-17.8213,-17.8612,-38.2039
20.5714,185.143,-17.3959,-17.4359,-37.7785
20.5714,195.429,-21.5193,-21.8812,-32.4913
20.5714,205.714,-31.1002,-32.1196,-37.8941
20.5714,216,-35.2668,-37.314,-39.5165
20.5714,226.286,-30.5014,-34.0194,-33.0572
20.5714,236.571,-20.9097,-26.4948,-22.3146
20.5714,246.857,-16.6875,-25.2877,-17.3326
20.5714,257.143,-14.7371,-28.3354,-14.9311
20.5714,267.429,-14.0329,-41.566,-14.0406
20.5714,277.714,-14.2598,-32.2652,-14.3291
20.5714,288,-15.5153,-26.2365,-15.8997
20.5714,298.286,-18.4019,-25.3389,-19.3842
20.5714,308.571,-24.6578,-29.1199,-26.582
20.5714,318.857,-37.3796,-40.0999,-40.7006
20.5714,329.143,-33.8475,-35.3313,-39.2326
20.5714,339.429,-25.7525,-26.3997,-34.3396
20.5714,349.714,-18.8166,-18.9768,-33.2283
20.5714,360,-17.0946,-17.0946,-300
25.7143,0,-18.3097,-18.3097,-300
25.7143,10.2857,-20.96,-21.1327,-35.0507
25.7143,20.5714,-16.4919,-17.1868,-24.7933
25.7143,30.8571,-15.6865,-17.2694,-20.8372
25.7143,41.1429,-19.2441,-22.1229,-22.3901
25.7143,51.4286,-22.6603,-27.3394,-24.4679
25.7143,61.7143,-18.4256,-25.6307,-19.3425
25.7143,72,-15.8277,-26.855,-16.1848
25.7143,82.2857,-14.8452,-33.1791,-14.9095
25.7143,92.5714,-14.6743,-42.5403,-14.6814
25.7143,102.857,-15.203,-29.1207,-15.3829
25.7143,113.143,-16.8505,-25.7397,-17.451
25.7143,123.429,-20.6104,-26.4393,-21.9256
25.7143,133.714,-21.987,-25.6934,-24.3976
25.7143,144,-16.95,-19.1256,-20.9946
25.7143,154.286,-15.5086,-16.6,-22.041
25.7143,164.571,-18.6592,-19.0487,-29.3253
25.7143,174.857,-20.3358,-20.3789,-40.3881
25.7143,185.143,-17.4011,-17.4443,-37.4534
25.7143,195.429,-20.4651,-20.8546,-31.1312
25.7143,205.714,-31.45,-32.5414,-37.9823
25.7143,216,-37.1914,-39.367,-41.236
25.7143,226.286,-24.0378,-27.7441,-26.4484
25.7143,236.571,-16.454,-22.2829,-17.7692
25.7143,246.857,-13.2711,-22.1603,-13.8716
25.7143,257.143,-11.7953,-25.713,-11.9751
25.7143,267.429,-11.2181,-39.0841,-11.2252
25.7143,277.714,-11.4098,-29.7437,-11.474
25.7143,288,-12.3954,-23.4227,-12.7525
25.7143,298.286,-14.5478,-21.7528,-15.4647
25.7143,308.571,-19.3768,-24.0559,-21.1845
25.7143,318.857,-32.0056,-34.8843,-35.1516
25.7143,329.143,-34.3157,-35.8986,-39.4664
25.7143,339.429,-24.9989,-25.6938,-33.3003
25.7143,349.714,-18.0612,-18.234,-32.1519
25.7143,360,-18.3097,-18.3097,-300
30.8571,0,-20.9461,-20.9461,-300
30.8571,10.2857,-17.9047,-18.0945,-31.5926
30.8571,20.5714,-16.1803,-16.9399,-24.1265
30.8571,30.8571,-21.7417,-23.4572,-26.6051
30.8571,41.1429,-19.1418,-22.2291,-22.0764
30.8571,51.4286,-14.782,-19.7426,-16.4512
30.8571,61.7143,-14.2444,-21.7925,-15.0844
30.8571,72,-15.4762,-26.8918,-15.8016
30.8571,82.2857,-17.0436,-35.7914,-17.1019
30.8571,92.5714,-17.4541,-45.7394,-17.4605
30.8571,102.857,-16.3147,-30.636,-16.4783
30.8571,113.143,-14.7312,-23.9883,-15.2797
30.8571,123.429,-14.188,-20.331,-15.3974
30.8571,133.714,-16.3089,-20.2612,-18.5455
30.8571,144,-22.8831,-25.229,-26.6781
30.8571,154.286,-18.0787,-19.267,-24.288
30.8571,164.571,-16.1303,-16.5574,-26.4141
30.8571,174.857,-20.9096,-20.9571,-40.5464
30.8571,185.143,-18.5734,-18.6208,-38.2101
30.8571,195.429,-19.2255,-19.6526,-29.5093
30.8571,205.714,-30.2611,-31.4494,-36.4704
30.8571,216,-37.8804,-40.2263,-41.6754
30.8571,226.286,-21.3805,-25.3329,-23.6172
30.8571,236.571,-14.4507,-20.5937,-15.6601
30.8571,246.857,-11.6189,-20.876,-12.1674
30.8571,257.143,-10.0286,-24.3499,-10.1922
30.8571,267.429,-9.28225,-37.5675,-9.2887
30.8571,277.714,-9.53747,-28.2853,-9.5958
30.8571,288,-10.7249,-22.1405,-11.0503
30.8571,298.286,-12.7817,-20.3298,-13.6218
30.8571,308.571,-17.0595,-22.0201,-18.7287
30.8571,318.857,-29.1356,-32.223,-32.0703
30.8571,329.143,-34.5356,-36.2512,-39.3991
30.8571,339.429,-23.2207,-23.9803,-31.1668
30.8571,349.714,-17.7989,-17.9888,-31.4868
30.8571,360,-20.9461,-20.9461,-300
36,0,-21.2363,-21.2363,-300
36,10.2857,-16.513,-16.7262,-29.7091
36,20.5714,-21.639,-22.4855,-29.1569
36,30.8571,-18.4628,-20.3532,-22.986
36,41.1429,-14.7628,-18.1198,-17.452
36,51.4286,-17.7239,-23.0418,-19.2353
36,61.7143,-30.2888,-38.2657,-31.0425
36,72,-18.4465,-30.342,-18.7367
36,82.2857,-14.1884,-33.4449,-14.2402
36,92.5714,-13.4738,-42.2735,-13.4795
36,102.857,-15.6789,-30.4974,-15.8245
36,113.143,-23.6491,-33.3633,-24.1396
36,123.429,-22.3799,-28.9183,-23.4696
36,133.714,-15.4411,-19.7085,-17.4777
36,144,-15.638,-18.2064,-19.1403
36,154.286,-23.2709,-24.5882,-29.094
36,164.571,-17.6873,-18.1654,-27.5069
36,174.857,-17.8873,-17.9408,-37.0149
36,185.143,-21.2804,-21.3338,-40.408
36,195.429,-18.4462,-18.9243,-28.2658
36,205.714,-27.4475,-28.7648,-33.2707
36,216,-37.5348,-40.1032,-41.0371
36,226.286,-20.7992,-25.0666,-22.8358
36,236.571,-13.6481,-20.1865,-14.7377
36,246.857,-10.685,-20.3993,-11.1755
36,257.143,-8.68337,-23.5019,-8.82898
36,267.429,-7.72188,-36.5216,-7.72761
36,277.714,-8.04689,-27.3034,-8.09874
36,288,-9.58723,-21.4827,-9.87741
36,298.286,-11.9676,-19.9446,-12.7214
36,308.571,-16.2686,-21.5865,-17.7799
36,318.857,-29.4297,-32.7867,-32.1189
36,329.143,-34.4423,-36.3327,-38.9655
36,339.429,-21.119,-21.9655,-28.6369
36,349.714,-18.6965,-18.9097,-31.8926
36,360,-21.2363,-21.2363,-300
41.1429,0,-18.3749,-18.3749,-300
41.1429,10.2857,-19.4247,-19.6699,-32.0303
41.1429,20.5714,-20.6086,-21.572,-27.6211
41.1429,30.8571,-15.5223,-17.6427,-19.6531
41.1429,41.1429,-22.742,-26.4451,-25.1549
41.1429,51.4286,-16.8776,-22.644,-18.2151
41.1429,61.7143,-9.01793,-17.5239,-9.67829
41.1429,72,-5.92531,-18.4056,-6.17785
41.1429,82.2857,-4.67853,-24.5506,-4.72349
41.1429,92.5714,-4.43509,-33.8565,-4.44005
41.1429,102.857,-5.11913,-20.5409,-5.24558
41.1429,113.143,-7.15836,-17.4327,-7.5865
41.1429,123.429,-11.952,-18.9822,-12.9111
41.1429,133.714,-27.7876,-32.4547,-29.6015
41.1429,144,-17.1006,-19.9579,-20.2694
41.1429,154.286,-16.5619,-18.0508,-21.9342
41.1429,164.571,-24.4832,-25.0305,-33.7496
41.1429,174.857,-17.2186,-17.2802,-35.7319
41.1429,185.143,-22.0064,-22.068,-40.5197
41.1429,195.429,-18.8448,-19.3921,-28.1112
41.1429,205.714,-23.9448,-25.4338,-29.3172
41.1429,216,-36.0544,-38.9117,-39.2232
41.1429,226.286,-21.8977,-26.5648,-23.7116
41.1429,236.571,-13.6106,-20.6408,-14.5697
41.1429,246.857,-10.2946,-20.5689,-10.7227
41.1429,257.143,-7.92114,-23.3429,-8.04759
41.1429,267.429,-6.82493,-36.2463,-6.8299
41.1429,277.714,-7.18831,-27.0604,-7.23327
41.1429,288,-8.99031,-21.4706,-9.24284
41.1429,298.286,-11.7605,-20.2665,-12.4208
41.1429,308.571,-16.5496,-22.3161,-17.8872
41.1429,318.857,-32.9046,-36.6078,-35.3175
41.1429,329.143,-32.6163,-34.7367,-36.747
41.1429,339.429,-19.5041,-20.4675,-26.5165
41.1429,349.714,-21.3347,-21.5798,-33.9403
41.1429,360,-18.3749,-18.3749,-300
46.2857,0,-18.0232,-18.0232,-300
46.2857,10.2857,-25.4034,-25.693,-37.3071
46.2857,20.5714,-16.5414,-17.6639,-22.9666
46.2857,30.8571,-23.5965,-26.0206,-27.2846
46.2857,41.1429,-14.1861,-18.333,-16.2964
46.2857,51.4286,-6.64653,-12.9737,-7.79835
46.2857,61.7143,-3.87055,-13.0251,-4.43309
46.2857,72,-3.02324,-16.211,-3.23687
46.2857,82.2857,-2.96191,-23.5733,-2.9998
46.2857,92.5714,-2.96887,-33.1358,-2.97306
46.2857,102.857,-2.92269,-19.0711,-3.02942
46.2857,113.143,-3.27841,-14.2342,-3.64169
46.2857,123.429,-4.93698,-12.5755,-5.75797
46.2857,133.714,-9.46057,-14.6334,-11.0338
46.2857,144,-24.4312,-27.6644,-27.2295
46.2857,154.286,-17.3772,-19.0962,-22.2333
46.2857,164.571,-19.3655,-20.0082,-27.9809
46.2857,174.857,-20.9647,-21.0377,-38.743
46.2857,185.143,-19.2181,-19.2911,-36.9965
46.2857,195.429,-21.1467,-21.7894,-29.7621
46.2857,205.714,-21.053,-22.772,-25.9091
46.2857,216,-35.2261,-38.4593,-38.0244
