theta_deg,phi_deg,RCS_total_dBsm,RCS_VV_dBsm,RCS_HH_dBsm
0,0,-21.5875,-21.5875,-300
0,10.2857,-21.5875,-21.5875,-300
0,20.5714,-21.5875,-21.5875,-300
0,30.8571,-21.5875,-21.5875,-300
0,41.1429,-21.5875,-21.5875,-300
0,51.4286,-21.5875,-21.5875,-300
0,61.7143,-21.5875,-21.5875,-300
0,72,-21.5875,-21.5875,-300
0,82.2857,-21.5875,-21.5875,-300
0,92.5714,-21.5875,-21.5875,-300
0,102.857,-21.5875,-21.5875,-300
0,113.143,-21.5875,-21.5875,-300
0,123.429,-21.5875,-21.5875,-300
0,133.714,-21.5875,-21.5875,-300
0,144,-21.5875,-21.5875,-300
0,154.286,-21.5875,-21.5875,-300
0,164.571,-21.5875,-21.5875,-300
0,174.857,-21.5875,-21.5875,-300
0,185.143,-21.5875,-21.5875,-300
0,195.429,-21.5875,-21.5875,-300
0,205.714,-21.5875,-21.5875,-300
0,216,-21.5875,-21.5875,-300
0,226.286,-21.5875,-21.5875,-300
0,236.571,-21.5875,-21.5875,-300
0,246.857,-21.5875,-21.5875,-300
0,257.143,-21.5875,-21.5875,-300
0,267.429,-21.5875,-21.5875,-300
0,277.714,-21.5875,-21.5875,-300
0,288,-21.5875,-21.5875,-300
0,298.286,-21.5875,-21.5875,-300
0,308.571,-21.5875,-21.5875,-300
0,318.857,-21.5875,-21.5875,-300
0,329.143,-21.5875,-21.5875,-300
0,339.429,-21.5875,-21.5875,-300
0,349.714,-21.5875,-21.5875,-300
0,360,-21.5875,-21.5875,-300
5.14286,0,-22.5704,-22.5704,-300
5.14286,10.2857,-25.0591,-25.2009,-39.9896
5.14286,20.5714,-27.9775,-28.5542,-37.0314
5.14286,30.8571,-31.2421,-32.5771,-37.0157
5.14286,41.1429,-34.4477,-36.9262,-38.0642
5.14286,51.4286,-36.6307,-40.7556,-38.7548
5.14286,61.7143,-37.2195,-43.7335,-38.3161
5.14286,72,-37.0167,-47.2488,-37.4492
5.14286,82.2857,-36.7498,-54.227,-36.8282
5.14286,92.5714,-36.688,-63.6848,-36.6966
5.14286,102.857,-36.866,-49.9519,-37.0848
5.14286,113.143,-37.1603,-45.3015,-37.8836
5.14286,123.429,-37.094,-42.297,-38.6541
5.14286,133.714,-35.7359,-38.9639,-38.5389
5.14286,144,-32.9005,-34.7535,-37.4932
5.14286,154.286,-29.5801,-30.4925,-36.8042
5.14286,164.571,-26.466,-26.7873,-37.9346
5.14286,174.857,-23.7609,-23.7962,-44.6762
5.14286,185.143,-21.4843,-21.5196,-42.3995
5.14286,195.429,-19.6066,-19.9279,-31.0752
5.14286,205.714,-18.0867,-18.9991,-25.3108
5.14286,216,-16.882,-18.735,-21.4747
5.14286,226.286,-15.9517,-19.1797,-18.7547
5.14286,236.571,-15.2593,-20.4623,-16.8194
5.14286,246.857,-14.7747,-22.916,-15.4981
5.14286,257.143,-14.4779,-27.5638,-14.6968
5.14286,267.429,-14.3534,-41.3502,-14.362
