theta_deg,phi_deg,RCS_total_dBsm,RCS_VV_dBsm,RCS_HH_dBsm
150.0,0,-15.03,-15.03,-15.03
151.0,0,-15.15,-15.15,-15.15
152.0,0,-15.28,-15.28,-15.28
153.0,0,-15.40,-15.40,-15.40
154.0,0,-15.51,-15.51,-15.51
155.0,0,-15.60,-15.60,-15.60
156.0,0,-15.67,-15.67,-15.67
157.0,0,-15.72,-15.72,-15.72
158.0,0,-15.73,-15.73,-15.73
159.0,0,-15.72,-15.72,-15.72
160.0,0,-15.67,-15.67,-15.67
161.0,0,-15.59,-15.59,-15.59
162.0,0,-15.49,-15.49,-15.49
163.0,0,-15.37,-15.37,-15.37
164.0,0,-15.24,-15.24,-15.24
165.0,0,-15.10,-15.10,-15.10
166.0,0,-14.96,-14.96,-14.96
167.0,0,-14.83,-14.83,-14.83
168.0,0,-14.71,-14.71,-14.71
169.0,0,-14.61,-14.61,-14.61
170.0,0,-14.53,-14.53,-14.53
171.0,0,-14.47,-14.47,-14.47
172.0,0,-14.43,-14.43,-14.43
173.0,0,-14.42,-14.42,-14.42
174.0,0,-14.44,-14.44,-14.44
175.0,0,-14.48,-14.48,-14.48
176.0,0,-14.55,-14.55,-14.55
177.0,0,-14.65,-14.65,-14.65
178.0,0,-14.76,-14.76,-14.76
179.0,0,-14.89,-14.89,-14.89
180.0,0,-15.03,-15.03,-15.03
