theta_deg,phi_deg,RCS_total_dBsm,RCS_VV_dBsm,RCS_HH_dBsm
15.4286,61.7143,-16.5769,-23.313,-17.6118
15.4286,72,-16.5368,-27.0265,-16.9433
15.4286,82.2857,-16.5129,-34.269,-16.5863
15.4286,92.5714,-16.508,-43.788,-16.5161
15.4286,102.857,-16.5226,-29.8787,-16.7279
15.4286,113.143,-16.5551,-24.9378,-17.2361
15.4286,123.429,-16.6017,-22.0047,-18.0781
15.4286,133.714,-16.6567,-20.0358,-19.3271
15.4286,144,-16.7134,-18.667,-21.123
15.4286,154.286,-16.7643,-17.732,-23.7599
15.4286,164.571,-16.8028,-17.1449,-28.0085
15.4286,174.857,-16.8235,-16.8612,-37.4574
15.4286,185.143,-16.8235,-16.8612,-37.4574
15.4286,195.429,-16.8028,-17.1449,-28.0085
15.4286,205.714,-16.7643,-17.732,-23.7599
15.4286,216,-16.7134,-18.667,-21.123
15.4286,226.286,-16.6567,-20.0358,-19.3271
15.4286,236.571,-16.6017,-22.0047,-18.0781
15.4286,246.857,-16.5551,-24.9378,-17.2361
15.4286,257.143,-16.5226,-29.8787,-16.7279
15.4286,267.429,-16.508,-43.788,-16.5161
15.4286,277.714,-16.5129,-34.269,-16.5863
15.4286,288,-16.5368,-27.0265,-16.9433
15.4286,298.286,-16.5769,-23.313,-17.6118
15.4286,308.571,-16.6285,-20.9296,-18.6451
15.4286,318.857,-16.6853,-19.2894,-20.1437
15.4286,329.143,-16.74,-18.1519,-22.3067
15.4286,339.429,-16.7855,-17.3985,-25.5919
15.4286,349.714,-16.8156,-16.9669,-31.4718
15.4286,360,-16.8262,-16.8262,-300
20.5714,0,-17.0824,-17.0824,-300
20.5714,10.2857,-17.0629,-17.2231,-31.4746
20.5714,20.5714,-17.0076,-17.6548,-25.5947
20.5714,30.8571,-16.9245,-18.4082,-22.3095
20.5714,41.1429,-16.8254,-19.5458,-20.1465
20.5714,51.4286,-16.7238,-21.1859,-18.6479
20.5714,61.7143,-16.6322,-23.5692,-17.6146
20.5714,72,-16.5616,-27.2828,-16.946
20.5714,82.2857,-16.5198,-34.5252,-16.5891
20.5714,92.5714,-16.5112,-44.0443,-16.5189
20.5714,102.857,-16.5368,-30.1351,-16.7307
20.5714,113.143,-16.5938,-25.1941,-17.2389
20.5714,123.429,-16.676,-22.261,-18.0809
20.5714,133.714,-16.774,-20.2921,-19.3298
20.5714,144,-16.876,-18.9233,-21.1257
20.5714,154.286,-16.9687,-17.9882,-23.7626
20.5714,164.571,-17.0394,-17.4012,-28.0113
20.5714,174.857,-17.0776,-17.1175,-37.4602
20.5714,185.143,-17.0776,-17.1175,-37.4602
20.5714,195.429,-17.0394,-17.4012,-28.0113
20.5714,205.714,-16.9687,-17.9882,-23.7626
20.5714,216,-16.876,-18.9233,-21.1257
20.5714,226.286,-16.774,-20.2921,-19.3298
20.5714,236.571,-16.676,-22.261,-18.0809
20.5714,246.857,-16.5938,-25.1941,-17.2389
20.5714,257.143,-16.5368,-30.1351,-16.7307
20.5714,267.429,-16.5112,-44.0443,-16.5189
20.5714,277.714,-16.5198,-34.5252,-16.5891
20.5714,288,-16.5616,-27.2828,-16.946
20.5714,298.286,-16.6322,-23.5692,-17.6146
20.5714,308.571,-16.7238,-21.1859,-18.6479
20.5714,318.857,-16.8254,-19.5458,-20.1465
20.5714,329.143,-16.9245,-18.4082,-22.3095
20.5714,339.429,-17.0076,-17.6548,-25.5947
20.5714,349.714,-17.0629,-17.2231,-31.4746
20.5714,360,-17.0824,-17.0824,-300
25.7143,0,-17.4184,-17.4184,-300
25.7143,10.2857,-17.3864,-17.5591,-31.4771
25.7143,20.5714,-17.2958,-17.9907,-25.5972
25.7143,30.8571,-17.1612,-18.7441,-22.3119
25.7143,41.1429,-17.0029,-19.8816,-20.1489
25.7143,51.4286,-16.8426,-21.5218,-18.6503
25.7143,61.7143,-16.7002,-23.9052,-17.6171
25.7143,72,-16.5914,-27.6187,-16.9485
25.7143,82.2857,-16.5273,-34.8612,-16.5916
25.7143,92.5714,-16.5142,-44.3803,-16.5213
25.7143,102.857,-16.5532,-30.4709,-16.7331
25.7143,113.143,-16.6407,-25.53,-17.2413
25.7143,123.429,-16.7681,-22.597,-18.0833
25.7143,133.714,-16.9217,-20.628,-19.3323
25.7143,144,-17.0837,-19.2592,-21.1282
25.7143,154.286,-17.2328,-18.3242,-23.7651
25.7143,164.571,-17.3477,-17.7372,-28.0137
25.7143,174.857,-17.4103,-17.4534,-37.4626
25.7143,185.143,-17.4103,-17.4534,-37.4626
25.7143,195.429,-17.3477,-17.7372,-28.0138
25.7143,205.714,-17.2328,-18.3242,-23.7651
25.7143,216,-17.0837,-19.2592,-21.1282
25.7143,226.286,-16.9217,-20.628,-19.3323
25.7143,236.571,-16.7681,-22.597,-18.0833
25.7143,246.857,-16.6407,-25.53,-17.2413
25.7143,257.143,-16.5532,-30.471,-16.7331
25.7143,267.429,-16.5142,-44.3803,-16.5213
25.7143,277.714,-16.5273,-34.8612,-16.5916
25.7143,288,-16.5914,-27.6187,-16.9485
25.7143,298.286,-16.7002,-23.9052,-17.6171
25.7143,308.571,-16.8426,-21.5218,-18.6503
25.7143,318.857,-17.0029,-19.8816,-20.1489
25.7143,329.143,-17.1612,-18.7441,-22.3119
25.7143,339.429,-17.2958,-17.9907,-25.5972
25.7143,349.714,-17.3864,-17.5591,-31.4771
25.7143,360,-17.4184,-17.4184,-300
30.8571,0,-17.8404,-17.8404,-300
30.8571,10.2857,-17.7912,-17.9811,-31.4791
30.8571,20.5714,-17.653,-18.4126,-25.5992
30.8571,30.8571,-17.4505,-19.1661,-22.314
30.8571,41.1429,-17.2163,-20.3036,-20.1509
30.8571,51.4286,-16.9831,-21.9438,-18.6524
30.8571,61.7143,-16.7791,-24.3272,-17.6191
30.8571,72,-16.6252,-28.0407,-16.9505
30.8571,82.2857,-16.5353,-35.2832,-16.5936
30.8571,92.5714,-16.5169,-44.8022,-16.5234
